dead_coordinate,dead_symbol,formula,zero_equation_template,provenance
"(1,2,0,1)","delta_k[1,2,0,1]","delta_k[1,2,0,1] = a_k[1,2] * b_k[0,1]","sum_k gamma_k[r',u'] * delta_k[1,2,0,1] = 0",EXACT_DERIVED
"(1,2,0,2)","delta_k[1,2,0,2]","delta_k[1,2,0,2] = a_k[1,2] * b_k[0,2]","sum_k gamma_k[r',u'] * delta_k[1,2,0,2] = 0",EXACT_DERIVED
"(1,2,1,0)","delta_k[1,2,1,0]","delta_k[1,2,1,0] = a_k[1,2] * b_k[1,0]","sum_k gamma_k[r',u'] * delta_k[1,2,1,0] = 0",EXACT_DERIVED
"(1,2,1,1)","delta_k[1,2,1,1]","delta_k[1,2,1,1] = a_k[1,2] * b_k[1,1]","sum_k gamma_k[r',u'] * delta_k[1,2,1,1] = 0",EXACT_DERIVED
"(1,2,1,2)","delta_k[1,2,1,2]","delta_k[1,2,1,2] = a_k[1,2] * b_k[1,2]","sum_k gamma_k[r',u'] * delta_k[1,2,1,2] = 0",EXACT_DERIVED
"(2,0,1,0)","delta_k[2,0,1,0]","delta_k[2,0,1,0] = a_k[2,0] * b_k[1,0]","sum_k gamma_k[r',u'] * delta_k[2,0,1,0] = 0",EXACT_DERIVED
"(2,0,1,1)","delta_k[2,0,1,1]","delta_k[2,0,1,1] = a_k[2,0] * b_k[1,1]","sum_k gamma_k[r',u'] * delta_k[2,0,1,1] = 0",EXACT_DERIVED
"(2,0,1,2)","delta_k[2,0,1,2]","delta_k[2,0,1,2] = a_k[2,0] * b_k[1,2]","sum_k gamma_k[r',u'] * delta_k[2,0,1,2] = 0",EXACT_DERIVED
"(2,0,2,0)","delta_k[2,0,2,0]","delta_k[2,0,2,0] = a_k[2,0] * b_k[2,0]","sum_k gamma_k[r',u'] * delta_k[2,0,2,0] = 0",EXACT_DERIVED
"(2,0,2,1)","delta_k[2,0,2,1]","delta_k[2,0,2,1] = a_k[2,0] * b_k[2,1]","sum_k gamma_k[r',u'] * delta_k[2,0,2,1] = 0",EXACT_DERIVED
"(2,0,2,2)","delta_k[2,0,2,2]","delta_k[2,0,2,2] = a_k[2,0] * b_k[2,2]","sum_k gamma_k[r',u'] * delta_k[2,0,2,2] = 0",EXACT_DERIVED
"(2,1,0,0)","delta_k[2,1,0,0]","delta_k[2,1,0,0] = a_k[2,1] * b_k[0,0]","sum_k gamma_k[r',u'] * delta_k[2,1,0,0] = 0",EXACT_DERIVED
"(2,1,0,1)","delta_k[2,1,0,1]","delta_k[2,1,0,1] = a_k[2,1] * b_k[0,1]","sum_k gamma_k[r',u'] * delta_k[2,1,0,1] = 0",EXACT_DERIVED
"(2,1,0,2)","delta_k[2,1,0,2]","delta_k[2,1,0,2] = a_k[2,1] * b_k[0,2]","sum_k gamma_k[r',u'] * delta_k[2,1,0,2] = 0",EXACT_DERIVED
"(2,1,2,0)","delta_k[2,1,2,0]","delta_k[2,1,2,0] = a_k[2,1] * b_k[2,0]","sum_k gamma_k[r',u'] * delta_k[2,1,2,0] = 0",EXACT_DERIVED
"(2,1,2,1)","delta_k[2,1,2,1]","delta_k[2,1,2,1] = a_k[2,1] * b_k[2,1]","sum_k gamma_k[r',u'] * delta_k[2,1,2,1] = 0",EXACT_DERIVED
"(2,1,2,2)","delta_k[2,1,2,2]","delta_k[2,1,2,2] = a_k[2,1] * b_k[2,2]","sum_k gamma_k[r',u'] * delta_k[2,1,2,2] = 0",EXACT_DERIVED
"(2,2,0,0)","delta_k[2,2,0,0]","delta_k[2,2,0,0] = a_k[2,2] * b_k[0,0]","sum_k gamma_k[r',u'] * delta_k[2,2,0,0] = 0",EXACT_DERIVED
"(2,2,0,1)","delta_k[2,2,0,1]","delta_k[2,2,0,1] = a_k[2,2] * b_k[0,1]","sum_k gamma_k[r',u'] * delta_k[2,2,0,1] = 0",EXACT_DERIVED
"(2,2,0,2)","delta_k[2,2,0,2]","delta_k[2,2,0,2] = a_k[2,2] * b_k[0,2]","sum_k gamma_k[r',u'] * delta_k[2,2,0,2] = 0",EXACT_DERIVED
"(2,2,1,0)","delta_k[2,2,1,0]","delta_k[2,2,1,0] = a_k[2,2] * b_k[1,0]","sum_k gamma_k[r',u'] * delta_k[2,2,1,0] = 0",EXACT_DERIVED
"(2,2,1,1)","delta_k[2,2,1,1]","delta_k[2,2,1,1] = a_k[2,2] * b_k[1,1]","sum_k gamma_k[r',u'] * delta_k[2,2,1,1] = 0",EXACT_DERIVED
"(2,2,1,2)","delta_k[2,2,1,2]","delta_k[2,2,1,2] = a_k[2,2] * b_k[1,2]","sum_k gamma_k[r',u'] * delta_k[2,2,1,2] = 0",EXACT_DERIVED
