column_type,column_label,coordinate_formula,provenance
eta1,"eta1[1,0]","(Ccol[1,0][0]*Dcol[0,0][0]*h[0,0] + Ccol[1,0][0]*Dcol[0,0][1]*h[0,1] + Ccol[1,0][0]*Dcol[0,0][2]*h[0,2] + Ccol[1,0][0]*Dcol[0,0][3]*h[0,3] + Ccol[1,0][1]*Dcol[0,0][0]*h[1,0] + Ccol[1,0][1]*Dcol[0,0][1]*h[1,1] + Ccol[1,0][1]*Dcol[0,0][2]*h[1,2] + Ccol[1,0][1]*Dcol[0,0][3]*h[1,3] + Ccol[1,0][2]*Dcol[0,0][0]*h[2,0] + Ccol[1,0][2]*Dcol[0,0][1]*h[2,1] + Ccol[1,0][2]*Dcol[0,0][2]*h[2,2] + Ccol[1,0][2]*Dcol[0,0][3]*h[2,3]) - (Ccol[1,1][0]*Dcol[1,0][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,0][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,0][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,0][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,0][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,0][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,0][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,0][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,0][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,0][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,0][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,0][3]*h[2,3])",EXACT_DERIVED
eta2,"eta2[1,0]","(Ccol[1,1][0]*Dcol[1,0][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,0][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,0][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,0][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,0][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,0][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,0][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,0][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,0][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,0][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,0][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,0][3]*h[2,3]) - (Ccol[1,2][0]*Dcol[2,0][0]*h[0,0] + Ccol[1,2][0]*Dcol[2,0][1]*h[0,1] + Ccol[1,2][0]*Dcol[2,0][2]*h[0,2] + Ccol[1,2][0]*Dcol[2,0][3]*h[0,3] + Ccol[1,2][1]*Dcol[2,0][0]*h[1,0] + Ccol[1,2][1]*Dcol[2,0][1]*h[1,1] + Ccol[1,2][1]*Dcol[2,0][2]*h[1,2] + Ccol[1,2][1]*Dcol[2,0][3]*h[1,3] + Ccol[1,2][2]*Dcol[2,0][0]*h[2,0] + Ccol[1,2][2]*Dcol[2,0][1]*h[2,1] + Ccol[1,2][2]*Dcol[2,0][2]*h[2,2] + Ccol[1,2][2]*Dcol[2,0][3]*h[2,3])",EXACT_DERIVED
sigma,"sigma[1,1]","(Ccol[1,0][0]*Dcol[0,1][0]*h[0,0] + Ccol[1,0][0]*Dcol[0,1][1]*h[0,1] + Ccol[1,0][0]*Dcol[0,1][2]*h[0,2] + Ccol[1,0][0]*Dcol[0,1][3]*h[0,3] + Ccol[1,0][1]*Dcol[0,1][0]*h[1,0] + Ccol[1,0][1]*Dcol[0,1][1]*h[1,1] + Ccol[1,0][1]*Dcol[0,1][2]*h[1,2] + Ccol[1,0][1]*Dcol[0,1][3]*h[1,3] + Ccol[1,0][2]*Dcol[0,1][0]*h[2,0] + Ccol[1,0][2]*Dcol[0,1][1]*h[2,1] + Ccol[1,0][2]*Dcol[0,1][2]*h[2,2] + Ccol[1,0][2]*Dcol[0,1][3]*h[2,3]) + (Ccol[1,1][0]*Dcol[1,1][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,1][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,1][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,1][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,1][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,1][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,1][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,1][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,1][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,1][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,1][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,1][3]*h[2,3]) + (Ccol[1,2][0]*Dcol[2,1][0]*h[0,0] + Ccol[1,2][0]*Dcol[2,1][1]*h[0,1] + Ccol[1,2][0]*Dcol[2,1][2]*h[0,2] + Ccol[1,2][0]*Dcol[2,1][3]*h[0,3] + Ccol[1,2][1]*Dcol[2,1][0]*h[1,0] + Ccol[1,2][1]*Dcol[2,1][1]*h[1,1] + Ccol[1,2][1]*Dcol[2,1][2]*h[1,2] + Ccol[1,2][1]*Dcol[2,1][3]*h[1,3] + Ccol[1,2][2]*Dcol[2,1][0]*h[2,0] + Ccol[1,2][2]*Dcol[2,1][1]*h[2,1] + Ccol[1,2][2]*Dcol[2,1][2]*h[2,2] + Ccol[1,2][2]*Dcol[2,1][3]*h[2,3])",EXACT_DERIVED
eta1,"eta1[1,1]","(Ccol[1,0][0]*Dcol[0,1][0]*h[0,0] + Ccol[1,0][0]*Dcol[0,1][1]*h[0,1] + Ccol[1,0][0]*Dcol[0,1][2]*h[0,2] + Ccol[1,0][0]*Dcol[0,1][3]*h[0,3] + Ccol[1,0][1]*Dcol[0,1][0]*h[1,0] + Ccol[1,0][1]*Dcol[0,1][1]*h[1,1] + Ccol[1,0][1]*Dcol[0,1][2]*h[1,2] + Ccol[1,0][1]*Dcol[0,1][3]*h[1,3] + Ccol[1,0][2]*Dcol[0,1][0]*h[2,0] + Ccol[1,0][2]*Dcol[0,1][1]*h[2,1] + Ccol[1,0][2]*Dcol[0,1][2]*h[2,2] + Ccol[1,0][2]*Dcol[0,1][3]*h[2,3]) - (Ccol[1,1][0]*Dcol[1,1][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,1][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,1][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,1][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,1][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,1][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,1][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,1][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,1][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,1][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,1][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,1][3]*h[2,3])",EXACT_DERIVED
eta2,"eta2[1,1]","(Ccol[1,1][0]*Dcol[1,1][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,1][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,1][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,1][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,1][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,1][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,1][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,1][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,1][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,1][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,1][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,1][3]*h[2,3]) - (Ccol[1,2][0]*Dcol[2,1][0]*h[0,0] + Ccol[1,2][0]*Dcol[2,1][1]*h[0,1] + Ccol[1,2][0]*Dcol[2,1][2]*h[0,2] + Ccol[1,2][0]*Dcol[2,1][3]*h[0,3] + Ccol[1,2][1]*Dcol[2,1][0]*h[1,0] + Ccol[1,2][1]*Dcol[2,1][1]*h[1,1] + Ccol[1,2][1]*Dcol[2,1][2]*h[1,2] + Ccol[1,2][1]*Dcol[2,1][3]*h[1,3] + Ccol[1,2][2]*Dcol[2,1][0]*h[2,0] + Ccol[1,2][2]*Dcol[2,1][1]*h[2,1] + Ccol[1,2][2]*Dcol[2,1][2]*h[2,2] + Ccol[1,2][2]*Dcol[2,1][3]*h[2,3])",EXACT_DERIVED
sigma,"sigma[1,2]","(Ccol[1,0][0]*Dcol[0,2][0]*h[0,0] + Ccol[1,0][0]*Dcol[0,2][1]*h[0,1] + Ccol[1,0][0]*Dcol[0,2][2]*h[0,2] + Ccol[1,0][0]*Dcol[0,2][3]*h[0,3] + Ccol[1,0][1]*Dcol[0,2][0]*h[1,0] + Ccol[1,0][1]*Dcol[0,2][1]*h[1,1] + Ccol[1,0][1]*Dcol[0,2][2]*h[1,2] + Ccol[1,0][1]*Dcol[0,2][3]*h[1,3] + Ccol[1,0][2]*Dcol[0,2][0]*h[2,0] + Ccol[1,0][2]*Dcol[0,2][1]*h[2,1] + Ccol[1,0][2]*Dcol[0,2][2]*h[2,2] + Ccol[1,0][2]*Dcol[0,2][3]*h[2,3]) + (Ccol[1,1][0]*Dcol[1,2][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,2][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,2][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,2][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,2][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,2][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,2][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,2][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,2][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,2][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,2][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,2][3]*h[2,3]) + (Ccol[1,2][0]*Dcol[2,2][0]*h[0,0] + Ccol[1,2][0]*Dcol[2,2][1]*h[0,1] + Ccol[1,2][0]*Dcol[2,2][2]*h[0,2] + Ccol[1,2][0]*Dcol[2,2][3]*h[0,3] + Ccol[1,2][1]*Dcol[2,2][0]*h[1,0] + Ccol[1,2][1]*Dcol[2,2][1]*h[1,1] + Ccol[1,2][1]*Dcol[2,2][2]*h[1,2] + Ccol[1,2][1]*Dcol[2,2][3]*h[1,3] + Ccol[1,2][2]*Dcol[2,2][0]*h[2,0] + Ccol[1,2][2]*Dcol[2,2][1]*h[2,1] + Ccol[1,2][2]*Dcol[2,2][2]*h[2,2] + Ccol[1,2][2]*Dcol[2,2][3]*h[2,3])",EXACT_DERIVED
eta1,"eta1[1,2]","(Ccol[1,0][0]*Dcol[0,2][0]*h[0,0] + Ccol[1,0][0]*Dcol[0,2][1]*h[0,1] + Ccol[1,0][0]*Dcol[0,2][2]*h[0,2] + Ccol[1,0][0]*Dcol[0,2][3]*h[0,3] + Ccol[1,0][1]*Dcol[0,2][0]*h[1,0] + Ccol[1,0][1]*Dcol[0,2][1]*h[1,1] + Ccol[1,0][1]*Dcol[0,2][2]*h[1,2] + Ccol[1,0][1]*Dcol[0,2][3]*h[1,3] + Ccol[1,0][2]*Dcol[0,2][0]*h[2,0] + Ccol[1,0][2]*Dcol[0,2][1]*h[2,1] + Ccol[1,0][2]*Dcol[0,2][2]*h[2,2] + Ccol[1,0][2]*Dcol[0,2][3]*h[2,3]) - (Ccol[1,1][0]*Dcol[1,2][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,2][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,2][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,2][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,2][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,2][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,2][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,2][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,2][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,2][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,2][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,2][3]*h[2,3])",EXACT_DERIVED
eta2,"eta2[1,2]","(Ccol[1,1][0]*Dcol[1,2][0]*h[0,0] + Ccol[1,1][0]*Dcol[1,2][1]*h[0,1] + Ccol[1,1][0]*Dcol[1,2][2]*h[0,2] + Ccol[1,1][0]*Dcol[1,2][3]*h[0,3] + Ccol[1,1][1]*Dcol[1,2][0]*h[1,0] + Ccol[1,1][1]*Dcol[1,2][1]*h[1,1] + Ccol[1,1][1]*Dcol[1,2][2]*h[1,2] + Ccol[1,1][1]*Dcol[1,2][3]*h[1,3] + Ccol[1,1][2]*Dcol[1,2][0]*h[2,0] + Ccol[1,1][2]*Dcol[1,2][1]*h[2,1] + Ccol[1,1][2]*Dcol[1,2][2]*h[2,2] + Ccol[1,1][2]*Dcol[1,2][3]*h[2,3]) - (Ccol[1,2][0]*Dcol[2,2][0]*h[0,0] + Ccol[1,2][0]*Dcol[2,2][1]*h[0,1] + Ccol[1,2][0]*Dcol[2,2][2]*h[0,2] + Ccol[1,2][0]*Dcol[2,2][3]*h[0,3] + Ccol[1,2][1]*Dcol[2,2][0]*h[1,0] + Ccol[1,2][1]*Dcol[2,2][1]*h[1,1] + Ccol[1,2][1]*Dcol[2,2][2]*h[1,2] + Ccol[1,2][1]*Dcol[2,2][3]*h[1,3] + Ccol[1,2][2]*Dcol[2,2][0]*h[2,0] + Ccol[1,2][2]*Dcol[2,2][1]*h[2,1] + Ccol[1,2][2]*Dcol[2,2][2]*h[2,2] + Ccol[1,2][2]*Dcol[2,2][3]*h[2,3])",EXACT_DERIVED
sigma,"sigma[2,0]","(Ccol[2,0][0]*Dcol[0,0][0]*h[0,0] + Ccol[2,0][0]*Dcol[0,0][1]*h[0,1] + Ccol[2,0][0]*Dcol[0,0][2]*h[0,2] + Ccol[2,0][0]*Dcol[0,0][3]*h[0,3] + Ccol[2,0][1]*Dcol[0,0][0]*h[1,0] + Ccol[2,0][1]*Dcol[0,0][1]*h[1,1] + Ccol[2,0][1]*Dcol[0,0][2]*h[1,2] + Ccol[2,0][1]*Dcol[0,0][3]*h[1,3] + Ccol[2,0][2]*Dcol[0,0][0]*h[2,0] + Ccol[2,0][2]*Dcol[0,0][1]*h[2,1] + Ccol[2,0][2]*Dcol[0,0][2]*h[2,2] + Ccol[2,0][2]*Dcol[0,0][3]*h[2,3]) + (Ccol[2,1][0]*Dcol[1,0][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,0][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,0][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,0][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,0][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,0][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,0][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,0][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,0][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,0][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,0][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,0][3]*h[2,3]) + (Ccol[2,2][0]*Dcol[2,0][0]*h[0,0] + Ccol[2,2][0]*Dcol[2,0][1]*h[0,1] + Ccol[2,2][0]*Dcol[2,0][2]*h[0,2] + Ccol[2,2][0]*Dcol[2,0][3]*h[0,3] + Ccol[2,2][1]*Dcol[2,0][0]*h[1,0] + Ccol[2,2][1]*Dcol[2,0][1]*h[1,1] + Ccol[2,2][1]*Dcol[2,0][2]*h[1,2] + Ccol[2,2][1]*Dcol[2,0][3]*h[1,3] + Ccol[2,2][2]*Dcol[2,0][0]*h[2,0] + Ccol[2,2][2]*Dcol[2,0][1]*h[2,1] + Ccol[2,2][2]*Dcol[2,0][2]*h[2,2] + Ccol[2,2][2]*Dcol[2,0][3]*h[2,3])",EXACT_DERIVED
eta1,"eta1[2,0]","(Ccol[2,0][0]*Dcol[0,0][0]*h[0,0] + Ccol[2,0][0]*Dcol[0,0][1]*h[0,1] + Ccol[2,0][0]*Dcol[0,0][2]*h[0,2] + Ccol[2,0][0]*Dcol[0,0][3]*h[0,3] + Ccol[2,0][1]*Dcol[0,0][0]*h[1,0] + Ccol[2,0][1]*Dcol[0,0][1]*h[1,1] + Ccol[2,0][1]*Dcol[0,0][2]*h[1,2] + Ccol[2,0][1]*Dcol[0,0][3]*h[1,3] + Ccol[2,0][2]*Dcol[0,0][0]*h[2,0] + Ccol[2,0][2]*Dcol[0,0][1]*h[2,1] + Ccol[2,0][2]*Dcol[0,0][2]*h[2,2] + Ccol[2,0][2]*Dcol[0,0][3]*h[2,3]) - (Ccol[2,1][0]*Dcol[1,0][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,0][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,0][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,0][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,0][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,0][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,0][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,0][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,0][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,0][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,0][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,0][3]*h[2,3])",EXACT_DERIVED
eta2,"eta2[2,0]","(Ccol[2,1][0]*Dcol[1,0][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,0][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,0][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,0][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,0][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,0][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,0][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,0][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,0][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,0][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,0][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,0][3]*h[2,3]) - (Ccol[2,2][0]*Dcol[2,0][0]*h[0,0] + Ccol[2,2][0]*Dcol[2,0][1]*h[0,1] + Ccol[2,2][0]*Dcol[2,0][2]*h[0,2] + Ccol[2,2][0]*Dcol[2,0][3]*h[0,3] + Ccol[2,2][1]*Dcol[2,0][0]*h[1,0] + Ccol[2,2][1]*Dcol[2,0][1]*h[1,1] + Ccol[2,2][1]*Dcol[2,0][2]*h[1,2] + Ccol[2,2][1]*Dcol[2,0][3]*h[1,3] + Ccol[2,2][2]*Dcol[2,0][0]*h[2,0] + Ccol[2,2][2]*Dcol[2,0][1]*h[2,1] + Ccol[2,2][2]*Dcol[2,0][2]*h[2,2] + Ccol[2,2][2]*Dcol[2,0][3]*h[2,3])",EXACT_DERIVED
sigma,"sigma[2,1]","(Ccol[2,0][0]*Dcol[0,1][0]*h[0,0] + Ccol[2,0][0]*Dcol[0,1][1]*h[0,1] + Ccol[2,0][0]*Dcol[0,1][2]*h[0,2] + Ccol[2,0][0]*Dcol[0,1][3]*h[0,3] + Ccol[2,0][1]*Dcol[0,1][0]*h[1,0] + Ccol[2,0][1]*Dcol[0,1][1]*h[1,1] + Ccol[2,0][1]*Dcol[0,1][2]*h[1,2] + Ccol[2,0][1]*Dcol[0,1][3]*h[1,3] + Ccol[2,0][2]*Dcol[0,1][0]*h[2,0] + Ccol[2,0][2]*Dcol[0,1][1]*h[2,1] + Ccol[2,0][2]*Dcol[0,1][2]*h[2,2] + Ccol[2,0][2]*Dcol[0,1][3]*h[2,3]) + (Ccol[2,1][0]*Dcol[1,1][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,1][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,1][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,1][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,1][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,1][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,1][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,1][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,1][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,1][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,1][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,1][3]*h[2,3]) + (Ccol[2,2][0]*Dcol[2,1][0]*h[0,0] + Ccol[2,2][0]*Dcol[2,1][1]*h[0,1] + Ccol[2,2][0]*Dcol[2,1][2]*h[0,2] + Ccol[2,2][0]*Dcol[2,1][3]*h[0,3] + Ccol[2,2][1]*Dcol[2,1][0]*h[1,0] + Ccol[2,2][1]*Dcol[2,1][1]*h[1,1] + Ccol[2,2][1]*Dcol[2,1][2]*h[1,2] + Ccol[2,2][1]*Dcol[2,1][3]*h[1,3] + Ccol[2,2][2]*Dcol[2,1][0]*h[2,0] + Ccol[2,2][2]*Dcol[2,1][1]*h[2,1] + Ccol[2,2][2]*Dcol[2,1][2]*h[2,2] + Ccol[2,2][2]*Dcol[2,1][3]*h[2,3])",EXACT_DERIVED
eta1,"eta1[2,1]","(Ccol[2,0][0]*Dcol[0,1][0]*h[0,0] + Ccol[2,0][0]*Dcol[0,1][1]*h[0,1] + Ccol[2,0][0]*Dcol[0,1][2]*h[0,2] + Ccol[2,0][0]*Dcol[0,1][3]*h[0,3] + Ccol[2,0][1]*Dcol[0,1][0]*h[1,0] + Ccol[2,0][1]*Dcol[0,1][1]*h[1,1] + Ccol[2,0][1]*Dcol[0,1][2]*h[1,2] + Ccol[2,0][1]*Dcol[0,1][3]*h[1,3] + Ccol[2,0][2]*Dcol[0,1][0]*h[2,0] + Ccol[2,0][2]*Dcol[0,1][1]*h[2,1] + Ccol[2,0][2]*Dcol[0,1][2]*h[2,2] + Ccol[2,0][2]*Dcol[0,1][3]*h[2,3]) - (Ccol[2,1][0]*Dcol[1,1][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,1][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,1][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,1][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,1][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,1][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,1][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,1][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,1][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,1][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,1][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,1][3]*h[2,3])",EXACT_DERIVED
eta2,"eta2[2,1]","(Ccol[2,1][0]*Dcol[1,1][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,1][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,1][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,1][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,1][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,1][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,1][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,1][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,1][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,1][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,1][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,1][3]*h[2,3]) - (Ccol[2,2][0]*Dcol[2,1][0]*h[0,0] + Ccol[2,2][0]*Dcol[2,1][1]*h[0,1] + Ccol[2,2][0]*Dcol[2,1][2]*h[0,2] + Ccol[2,2][0]*Dcol[2,1][3]*h[0,3] + Ccol[2,2][1]*Dcol[2,1][0]*h[1,0] + Ccol[2,2][1]*Dcol[2,1][1]*h[1,1] + Ccol[2,2][1]*Dcol[2,1][2]*h[1,2] + Ccol[2,2][1]*Dcol[2,1][3]*h[1,3] + Ccol[2,2][2]*Dcol[2,1][0]*h[2,0] + Ccol[2,2][2]*Dcol[2,1][1]*h[2,1] + Ccol[2,2][2]*Dcol[2,1][2]*h[2,2] + Ccol[2,2][2]*Dcol[2,1][3]*h[2,3])",EXACT_DERIVED
sigma,"sigma[2,2]","(Ccol[2,0][0]*Dcol[0,2][0]*h[0,0] + Ccol[2,0][0]*Dcol[0,2][1]*h[0,1] + Ccol[2,0][0]*Dcol[0,2][2]*h[0,2] + Ccol[2,0][0]*Dcol[0,2][3]*h[0,3] + Ccol[2,0][1]*Dcol[0,2][0]*h[1,0] + Ccol[2,0][1]*Dcol[0,2][1]*h[1,1] + Ccol[2,0][1]*Dcol[0,2][2]*h[1,2] + Ccol[2,0][1]*Dcol[0,2][3]*h[1,3] + Ccol[2,0][2]*Dcol[0,2][0]*h[2,0] + Ccol[2,0][2]*Dcol[0,2][1]*h[2,1] + Ccol[2,0][2]*Dcol[0,2][2]*h[2,2] + Ccol[2,0][2]*Dcol[0,2][3]*h[2,3]) + (Ccol[2,1][0]*Dcol[1,2][0]*h[0,0] + Ccol[2,1][0]*Dcol[1,2][1]*h[0,1] + Ccol[2,1][0]*Dcol[1,2][2]*h[0,2] + Ccol[2,1][0]*Dcol[1,2][3]*h[0,3] + Ccol[2,1][1]*Dcol[1,2][0]*h[1,0] + Ccol[2,1][1]*Dcol[1,2][1]*h[1,1] + Ccol[2,1][1]*Dcol[1,2][2]*h[1,2] + Ccol[2,1][1]*Dcol[1,2][3]*h[1,3] + Ccol[2,1][2]*Dcol[1,2][0]*h[2,0] + Ccol[2,1][2]*Dcol[1,2][1]*h[2,1] + Ccol[2,1][2]*Dcol[1,2][2]*h[2,2] + Ccol[2,1][2]*Dcol[1,2][3]*h[2,3]) + (Ccol[2,2][0]*Dcol[2,2][0]*h[0,0] + Ccol[2,2][0]*Dcol[2,2][1]*h[0,1] + Ccol[2,2][0]*Dcol[2,2][2]*h[0,2] + Ccol[2,2][0]*Dcol[2,2][3]*h[0,3] + Ccol[2,2][1]*Dcol[2,2][0]*h[1,0] + Ccol[2,2][1]*Dcol[2,2][1]*h[1,1] + Ccol[2,2][1]*Dcol[2,2][2]*h[1,2] + Ccol[2,2][1]*Dcol[2,2][3]*h[1,3] + Ccol[2,2][2]*Dcol[2,2][0]*h[2,0] + Ccol[2,2][2]*Dcol[2,2][1]*h[2,1] + Ccol[2,2][2]*Dcol[2,2][2]*h[2,2] + Ccol[2,2][2]*Dcol[2,2][3]*h[2,3])",EXACT_DERIVED
